EP ID,Home LC,Home MC,Home Region,Host LC,Host MC,Host Region,Date Break RE
51a72e6564a8a475a304ae78bd6232c0,DUESSELDORF,Germany,Europe,Rabat,Morocco,Middle East and Africa,2020-04-14 18:48
b128151654d204543c12c9ddd57bfa5b,PASSAU,Germany,Europe,Universidad San Marcos,Peru,Americas,2020-04-11 04:22
b39f35b773e3fd511c633835662fa60a,La Plata,Argentina,Americas,BRASÍLIA,Brazil,Americas,2020-04-07 04:06
d88f569ae37d4f94f4ffe16ca06aa0eb,BUCARAMANGA,Colombia,Americas,SALVADOR,Brazil,Americas,2020-04-16 06:57
f8ba0176e5504a5d2ebe9ca0cb4ff85c,BRASÍLIA,Brazil,Americas,GAZIANTEP,Turkey,Europe,2020-03-01 07:03
fda3f53e0a14fbdd252b4aa751134e83,UNAM,Mexico,Americas,ANDES,Colombia,Americas,2020-03-29 04:14
87610ba8610d673b72b849f70a630ca6,CENTRAL,Colombia,Americas,ARACAJU,Brazil,Americas,2020-02-06 19:55
1d446f925ffbe76f9bca5e711afc64f0,GIESSEN-MARBURG,Germany,Europe,Marrakech,Morocco,Middle East and Africa,2020-03-29 04:04
94400467e4e8deb2eac5fdb5389edf4b,BONN,Germany,Europe,UNINORTE,Colombia,Americas,2020-04-29 04:49
8cdef9f9f6af5dc3ad8ac4a0c6cb36dc,HANNOVER,Germany,Europe,USAC,Guatemala,Americas,2020-03-26 06:14
0a6ccb0270f114e84f179c1fc1315f10,TUNJA,Colombia,Americas,MANAUS,Brazil,Americas,2020-04-16 05:38
6345ab21e351c31239ed8c5b26493b2a,PORTO ALEGRE,Brazil,Americas,Pacifico,Peru,Americas,2020-09-15 21:49
85235e5a4b15b4a04506972878894e3d,KARLSRUHE,Germany,Europe,El Jadida,Morocco,Middle East and Africa,2020-03-29 20:05
16d23eac092054a6470480724cc96112,BAURU,Brazil,Americas,Universidad San Marcos,Peru,Americas,2020-02-02 19:54
ec6f23258b2dbd952ef9d59c24842f94,Universidad Catolica - Peru,Peru,Americas,UdeA,Colombia,Americas,2020-05-07 05:33
fed8f1ed23b7230a16446bc3454768ac,BOLOGNA,Italy,Europe,FTU HCMC,VIETNAM,Asia Pacific,2020-03-20 18:04
64d12609714dc9374eebc6b31f3a893d,Twente,The Netherlands,Europe,SAO CARLOS,Brazil,Americas,2020-03-23 18:56
c1978d5048303b732556d07293f062ae,COLOMBO CENTRAL,Sri Lanka,Asia Pacific,WARSZAWA SGH,Poland,Europe,2020-04-03 14:56
d890e71481a20065ff6664e7502c7ba4,BOCHUM,Germany,Europe,VITÓRIA,Brazil,Americas,2020-04-16 23:05
b2f19ae33f714eb73f49d677801449ac,CENTRAL,Colombia,Americas,ITAM,Mexico,Americas,2020-06-05 01:23
a832bb97726f3686b8104568e908efc5,ATHENS,Greece,Europe,GUC,Egypt,Middle East and Africa,2020-03-29 16:10
7f347b920e4e1a9e963a3983d49c4375,ITAJUBA,Brazil,Americas,MIU,Egypt,Middle East and Africa,2020-04-12 00:42
